id,name,description,min_players,max_players,time
67,Troyes,"Defend the city and rise to power by influencing the merchants, knights and clergy.",1,4,90
68,Star Wars: Rebellion,Strike from your hidden base as the Rebels—or find and destroy it as the Empire.,2,4,180–240
69,Aeon's End,"Mages defend humanity’s last city, harnessing alien powers to destroy monstrosities.",1,4,60
70,Five Tribes,"Move assassins, elders & builders through Naqala to claim oases & control djinns.",2,4,40–80
71,Architects of the West Kingdom,Will you be a virtuous or nefarious servant of the king? Build your way to glory.,1,5,60–80
72,Crokinole,Flick discs and make trick shots in this traditional Canadian dexterity game!,2,4,30
73,Patchwork,Piece together a quilt and leave no holes to become the button master.,2,2,15–30
74,A Feast for Odin,"Puzzle together the life of a Viking village as you hunt, farm, craft, and explore.",1,4,30–120
75,Lords of Waterdeep,Deploy agents and hire adventurers to expand your control over the city of Waterdeep.,2,5,60–120
76,Android: Netrunner,Megacorporation versus Netrunner in this futuristic cyberpunk game of cat and mouse.,2,2,45
77,Pax Pamir: Second Edition,"Swing the tides of ""The Great Game"" as countries vie for control of Afghanistan.",1,5,45–120
78,Eclipse,"Build an interstellar civilization by exploration, research, conquest, and diplomacy.",2,6,60–180
79,El Grande,"Use your caballeros to control regions of medieval Spain, keeping clear of the King!",2,5,60–120
80,Twilight Imperium: Third Edition,"Epic empire-building game of interstellar conflict, trade, and struggle for power.",3,6,180–240
81,Dominion: Intrigue,"Enlist torturers, swindlers, and saboteurs to gain wealth and dominate the kingdom.",2,6,30
82,The Lord of the Rings: Journeys in Middle-Earth,"Heroes explore Middle-earth, working together to combat evil in an epic campaign.",1,5,60–120
83,The Crew: Mission Deep Sea,Dive into the deep sea in this co-operative trick-taking game.,2,5,20
84,Barrage,Nations vie for hydroelectric dominance in a dystopia where water is power.,1,4,60–120
85,Terraforming Mars,Compete with rival CEOs to make Mars habitable and build your corporate empire.,1,5,120
86,Mansions of Madness: Second Edition,Unravel mysteries in Arkham with your investigative team in this app-guided game.,1,5,120–180
87,Twilight Imperium: Fourth Edition,"Build an intergalactic empire through trade, research, conquest and grand politics.",3,6,240–480
88,Kanban EV,EV-factory workers optimize and innovate to stand out at the big board meeting.,1,4,60–180
89,Agricola (Revised Edition),"Help your farm to prosper in this updated, streamlined edition of the acclaimed game.",1,4,30–120
90,War of the Ring: Second Edition,The Fellowship and the Free Peoples clash with Sauron over the fate of Middle-Earth.,2,4,150–180
91,Blood Rage,Ragnarök has come! Secure your place in Valhalla in epic Viking battles.,2,4,60–90
92,Grand Austria Hotel,Serve guests and prepare rooms to be the best hotelier in the Viennese modern age.,2,4,60–120
93,Fields of Arle,"Construct dikes, drain bogs, harvest flax and tend to newborn animals in East Frisia.",1,2,60–120
94,The Castles of Burgundy,"Plan, trade, and build your Burgundian estate to prosperity and prominence.",2,4,30–90
95,Rising Sun,"Lead your clan to victory through negotiation, combat, monsters and favors from Kami.",3,5,90–120
96,Cascadia,Create the most harmonious ecosystem as you puzzle together habitats and wildlife.,1,4,30–45
97,Maracaibo,Seafarers journey to obtain wealth and fame in the 17th century Caribbean.,1,4,30–120
